YEAR,MM,DD,T2M_MAX,T2M_MIN,NAMES
1981,11,28,30.48,15.74,bobo
1981,11,29,29.05,16.47,bobo
1981,11,30,31.4,16.21,bobo
1981,12,1,31.8,14.79,bobo
1981,12,2,31.75,16.03,bobo
1981,12,3,31.24,14.4,bobo
1981,12,4,30.63,13.49,bobo
1981,12,5,30.83,12.92,bobo
1981,12,6,30.5,12.07,bobo
1981,12,7,31.05,13.86,bobo
1981,12,8,29.23,15.94,bobo
1981,12,9,31.65,14.24,bobo
1981,12,10,30.44,14.78,bobo
1981,12,11,32.59,14.48,bobo
1981,12,12,32.82,13.86,bobo
1981,12,13,31.98,15.83,bobo
1981,12,14,32.21,14.75,bobo
1981,12,15,32.54,14.23,bobo
1981,12,16,32.04,14.38,bobo
1981,12,17,32.93,15.65,bobo
1981,12,18,33.04,16.12,bobo
1981,12,19,33,15.23,bobo
1981,12,20,33.15,15.44,bobo
1981,12,21,33.08,16.87,bobo
1981,12,22,32.45,14.06,bobo
1981,12,23,32.7,13.96,bobo
1981,12,24,NA,NA,bobo
1981,12,25,33.47,13.98,bobo
1981,12,26,34.46,16.87,bobo
1981,12,27,34.24,17.51,bobo
1981,12,28,34.05,17.12,bobo
1981,12,29,34.52,15.26,bobo
1981,12,30,34.77,16.18,bobo
1981,12,31,35.14,17.21,bobo
1982,1,1,34.98,15.69,bobo
1982,1,2,34.37,15.35,bobo
1982,1,3,33.58,14.11,bobo
1982,1,4,33.77,13.69,bobo
1982,1,5,32.38,12.99,bobo
1982,1,6,31.3,11.64,bobo
1982,1,7,31.26,11.38,bobo
1982,1,8,31.44,11.71,bobo
1982,1,9,31.81,12.23,bobo
1982,1,10,31.6,11.26,bobo
1982,1,11,32.65,11.7,bobo
1982,1,12,33.59,13.03,bobo
1982,1,13,34.69,15.9,bobo
1982,1,14,34.49,17.2,bobo
1982,1,15,34.62,17.07,bobo
1982,1,16,33.97,15.98,bobo
1982,1,17,34.77,15.62,bobo
1982,1,18,34.59,15.9,bobo
1982,1,19,34.47,16.39,bobo
1982,1,20,33.12,15.73,bobo
1982,1,21,30.26,14.58,bobo
1982,1,22,30.24,15.27,bobo
1982,1,23,29.45,13.38,bobo
1982,1,24,30.15,12.15,bobo
1982,1,25,30.73,12.81,bobo
1982,1,26,32.51,12.41,bobo
1982,1,27,33.35,14.65,bobo
1982,1,28,33.82,14.44,bobo
1982,1,29,34.71,15.2,bobo
1982,1,30,34.18,15.03,bobo
1982,1,31,34.63,16.37,bobo
1982,2,1,35.45,15.15,bobo
1982,2,2,36.19,15.4,bobo
1982,2,3,36.36,15.99,bobo
1982,2,4,36.75,18.58,bobo
1982,2,5,37.7,19,bobo
1982,2,6,37.13,17.15,bobo
1982,2,7,36,17.08,bobo
1982,2,8,34.76,16.65,bobo
1982,2,9,34.83,15.65,bobo
1982,2,10,35.2,18.19,bobo
1982,2,11,34.85,18.06,bobo
1982,2,12,36.55,16.73,bobo
1982,2,13,37.36,19.08,bobo
1982,2,14,37.29,19.62,bobo
1982,2,15,37.09,19,bobo
1982,2,16,34,23.9,bobo
1982,2,17,35.8,22.3,bobo
1982,2,18,33.87,24,bobo
1982,2,19,28.24,22.46,bobo
1982,2,20,35.39,21.24,bobo
1982,2,21,35.19,19.48,bobo
1982,2,22,34.86,16.99,bobo
1982,2,23,36.03,18.54,bobo
1982,2,24,35.16,18.53,bobo
1982,2,25,32.69,18.83,bobo
1982,2,26,36.19,17.73,bobo
1982,2,27,36.49,18.11,bobo
1982,2,28,37.55,18.65,bobo
1982,3,1,37.6,18.63,bobo
1982,3,2,36.76,19.23,bobo
1982,3,3,36.49,17.96,bobo
1982,3,4,35.98,18.59,bobo
1982,3,5,36.19,17.45,bobo
1982,3,6,37.07,16.47,bobo
1982,3,7,37.8,16.93,bobo
1982,3,8,39.03,19.26,bobo
1982,3,9,39.11,20.04,bobo
1982,3,10,36.21,24.13,bobo
1982,3,11,29.57,23.7,bobo
1982,3,12,29.73,22.26,bobo
1982,3,13,27.94,22.12,bobo
1982,3,14,31.44,21.65,bobo
1982,3,15,34.08,23.41,bobo
1982,3,16,35.22,22.87,bobo
1982,3,17,34.55,23.05,bobo
1982,3,18,31.37,23.04,bobo
1982,3,19,35.5,23.26,bobo
1982,3,20,32.06,24.2,bobo
1982,3,21,27.51,22.88,bobo
1982,3,22,26.76,19.84,bobo
1982,3,23,33.37,20.18,bobo
1982,3,24,34.03,22.37,bobo
1982,3,25,35.98,19.37,bobo
1982,3,26,34.8,21.55,bobo
1982,3,27,36.19,23.04,bobo
1982,3,28,36,23.26,bobo
1982,3,29,32.99,24.23,bobo
1982,3,30,33.21,23.29,bobo
1982,3,31,35.05,23.54,bobo
1982,4,1,34.92,23.71,bobo
1982,4,2,35.8,25.02,bobo
1982,4,3,37.42,23.39,bobo
1982,4,4,36.87,24.08,bobo
1982,4,5,35.84,24.55,bobo
1982,4,6,31.62,24.73,bobo
1982,4,7,36.73,23.68,bobo
1982,4,8,36.3,24.96,bobo
1982,4,9,38.23,23.37,bobo
1982,4,10,35.81,24.46,bobo
1982,4,11,31.4,24.17,bobo
1982,4,12,34.15,22.63,bobo
1982,4,13,30.52,23.18,bobo
1982,4,14,29.73,21.11,bobo
1982,4,15,34.68,21.7,bobo
1982,4,16,33.63,22.87,bobo
1982,4,17,31.4,23.38,bobo
1982,4,18,34.78,21.79,bobo
1982,4,19,32.8,23.25,bobo
1982,4,20,30.28,23.8,bobo
1982,4,21,33.3,22.98,bobo
1982,4,22,31.63,22.24,bobo
1982,4,23,33.49,21.83,bobo
1982,4,24,32.37,22.79,bobo
1982,4,25,29.58,23.6,bobo
1982,4,26,30.82,23.33,bobo
1982,4,27,30.42,23.23,bobo
1982,4,28,NA,NA,bobo
1982,4,29,32.8,22.98,bobo
1982,4,30,30.65,23.32,bobo
1982,5,1,30.62,22.72,bobo
1982,5,2,32.37,22.04,bobo
1982,5,3,30.83,22.8,bobo
1982,5,4,31.32,22.59,bobo
1982,5,5,30.83,22.91,bobo
1982,5,6,33.45,22.38,bobo
1982,5,7,30.8,23.49,bobo
1982,5,8,30.38,22.44,bobo
1982,5,9,31.84,21.8,bobo
1982,5,10,32.07,21.74,bobo
1982,5,11,31.43,22.48,bobo
1982,5,12,35.7,22.69,bobo
1982,5,13,32.92,21.9,bobo
1982,5,14,30.65,23.35,bobo
1982,5,15,33.76,22.96,bobo
1982,5,16,33.97,22.97,bobo
1982,5,17,33.48,23.87,bobo
1982,5,18,31.65,24.08,bobo
1982,5,19,32.56,23.94,bobo
1982,5,20,31.51,23.81,bobo
1982,5,21,33.17,22.79,bobo
1982,5,22,35.22,23.43,bobo
1982,5,23,31.98,23.97,bobo
1982,5,24,29.21,23.04,bobo
1982,5,25,33.1,21.99,bobo
1982,5,26,31.87,22.72,bobo
1982,5,27,30.44,22.65,bobo
1982,5,28,30.95,22.98,bobo
1982,5,29,32.37,22.16,bobo
1982,5,30,31.92,22.22,bobo
1982,5,31,31.23,22.28,bobo
1982,6,1,30.61,22.37,bobo
1982,6,2,31.72,22.26,bobo
1982,6,3,31.66,21.31,bobo
1982,6,4,29.85,22.03,bobo
1982,6,5,31.59,22.46,bobo
1982,6,6,31.15,22.58,bobo
1982,6,7,29.87,22.86,bobo
1982,6,8,29.21,22.91,bobo
1982,6,9,27.55,22.26,bobo
1982,6,10,32.07,21.08,bobo
1982,6,11,33.58,20.07,bobo
1982,6,12,32.08,21.17,bobo
1982,6,13,30.57,22.3,bobo
1982,6,14,30.51,22.48,bobo
1982,6,15,30.2,22.24,bobo
1982,6,16,31.71,21.87,bobo
1982,6,17,29.12,22.91,bobo
1982,6,18,29.98,23.01,bobo
1982,6,19,30.61,22.37,bobo
1982,6,20,30.11,21.7,bobo
1982,6,21,29.83,22.21,bobo
1982,6,22,31.23,21.92,bobo
1982,6,23,28.94,21.88,bobo
1982,6,24,25.62,22.81,bobo
1982,6,25,30.13,21.8,bobo
1982,6,26,29.91,21.76,bobo
1982,6,27,28.53,21.39,bobo
1982,6,28,29.65,20.94,bobo
1982,6,29,29.19,21.11,bobo
1982,6,30,29.48,20.33,bobo
1982,7,1,31.9,21.55,bobo
1982,7,2,29.73,22.42,bobo
1982,7,3,29.51,21.7,bobo
1982,7,4,30.44,21.36,bobo
1982,7,5,29.95,20.98,bobo
1982,7,6,28.73,22.43,bobo
1982,7,7,29.83,20.82,bobo
1982,7,8,29.87,21.26,bobo
1982,7,9,30.2,21.73,bobo
1982,7,10,29.64,21.57,bobo
1982,7,11,27.43,22.4,bobo
1982,7,12,27.34,21.6,bobo
1982,7,13,29.05,21.08,bobo
1982,7,14,28.37,20.91,bobo
1982,7,15,30.73,19.66,bobo
1982,7,16,27.7,21.9,bobo
1982,7,17,29.08,21.1,bobo
1982,7,18,29.2,20.55,bobo
1982,7,19,29.31,21.69,bobo
1982,7,20,29.97,20.07,bobo
1982,7,21,31.51,20.69,bobo
1982,7,22,28.64,21.48,bobo
1982,7,23,28.48,21.23,bobo
1982,7,24,28.29,21.06,bobo
1982,7,25,28.55,21.27,bobo
1982,7,26,29.55,20.86,bobo
1982,7,27,30.04,21.58,bobo
1982,7,28,29.91,21.96,bobo
1982,7,29,28.76,21.68,bobo
1982,7,30,30.18,20.58,bobo
1982,7,31,28.59,22.29,bobo
1982,8,1,28.21,21.31,bobo
1982,8,2,27.41,20.8,bobo
1982,8,3,29.19,21.6,bobo
1982,8,4,29.05,21.19,bobo
1982,8,5,28.2,21.61,bobo
1982,8,6,24.98,20.41,bobo
1982,8,7,26.3,20.48,bobo
1982,8,8,27.67,21.17,bobo
1982,8,9,27.84,21.15,bobo
1982,8,10,26.91,21.32,bobo
1982,8,11,25.85,20.46,bobo
1982,8,12,29.4,19.44,bobo
1982,8,13,28.23,21.77,bobo
1982,8,14,27.35,20.57,bobo
1982,8,15,29.06,20.55,bobo
1982,8,16,29.44,21.36,bobo
1982,8,17,30.75,21.17,bobo
1982,8,18,27.1,22.26,bobo
1982,8,19,28.01,21.59,bobo
1982,8,20,27.35,20.51,bobo
1982,8,21,25.36,21.43,bobo
1982,8,22,27.4,20.48,bobo
1982,8,23,27.62,21.4,bobo
1982,8,24,27.1,21.41,bobo
1982,8,25,28.28,20.51,bobo
1982,8,26,27.9,21.01,bobo
1982,8,27,28.74,20.82,bobo
1982,8,28,28.73,20.4,bobo
1982,8,29,28.22,21.2,bobo
1982,8,30,29.36,20.76,bobo
1982,8,31,28.46,20.91,bobo
1982,9,1,28.23,21.83,bobo
1982,9,2,28.73,21.35,bobo
1982,9,3,29.16,21.4,bobo
1982,9,4,29.58,21.52,bobo
1982,9,5,27.44,21.59,bobo
1982,9,6,27.74,21.65,bobo
1982,9,7,29.44,21.37,bobo
1982,9,8,29.19,21.86,bobo
1982,9,9,28.99,22.06,bobo
1982,9,10,29.12,21.45,bobo
1982,9,11,29.37,21.37,bobo
1982,9,12,25.83,21.94,bobo
1982,9,13,29.57,20.8,bobo
1982,9,14,30.41,20.58,bobo
1982,9,15,29.33,21.38,bobo
1982,9,16,27.86,21.4,bobo
1982,9,17,31.62,20.51,bobo
1982,9,18,31.87,21.67,bobo
1982,9,19,30.36,22.05,bobo
1982,9,20,30.41,21.28,bobo
1982,9,21,30.69,22.33,bobo
1982,9,22,31.22,21.53,bobo
1982,9,23,31.73,21.34,bobo
1982,9,24,29.85,21.17,bobo
1982,9,25,29.14,20.83,bobo
1982,9,26,31.35,20.7,bobo
1982,9,27,31.73,21.58,bobo
1982,9,28,31.19,22.37,bobo
1982,9,29,30.69,21.62,bobo
1982,9,30,29.59,22.13,bobo
1982,10,1,29.3,22.15,bobo
1982,10,2,29.43,22.62,bobo
1982,10,3,27.39,21.88,bobo
1982,10,4,28.72,21.26,bobo
1982,10,5,26.06,21.45,bobo
1982,10,6,30.11,20.62,bobo
1982,10,7,28.67,20.69,bobo
1982,10,8,29.73,20.94,bobo
1982,10,9,30.52,21.64,bobo
1982,10,10,30.87,20.82,bobo
1982,10,11,28.83,20.79,bobo
1982,10,12,27.26,20.73,bobo
1982,10,13,29.98,20.21,bobo
1982,10,14,31.14,20.8,bobo
1982,10,15,30.73,21.1,bobo
1982,10,16,31.06,20.98,bobo
1982,10,17,31.33,20.91,bobo
1982,10,18,31.49,20.9,bobo
1982,10,19,31.58,21.31,bobo
1982,10,20,31.22,21.45,bobo
1982,10,21,30.56,21.67,bobo
1982,10,22,31.4,21.94,bobo
1982,10,23,31.29,21.36,bobo
1982,10,24,31.78,21.43,bobo
1982,10,25,32.05,20.24,bobo
1982,10,26,31.2,21.15,bobo
1982,10,27,30.6,21.76,bobo
1982,10,28,27.83,21.74,bobo
1982,10,29,29.05,21.57,bobo
1982,10,30,26.41,21.74,bobo
