YEAR,MM,DD,PRECTOTCORR,NAMES
1982,5,27,9.73,bobo
1982,5,28,1.21,bobo
1982,5,29,2.09,bobo
1982,5,30,2.2,bobo
1982,5,31,12.99,bobo
1982,6,1,11.89,bobo
1982,6,2,1.14,bobo
1982,6,3,4.48,bobo
1982,6,4,6.08,bobo
1982,6,5,2.36,bobo
1982,6,6,3.35,bobo
1982,6,7,9.01,bobo
1982,6,8,4.52,bobo
1982,6,9,8.88,bobo
1982,6,10,3.49,bobo
1982,6,11,0.86,bobo
1982,6,12,18.4,bobo
1982,6,13,10.42,bobo
1982,6,14,2.74,bobo
1982,6,15,2.93,bobo
1982,6,16,2.69,bobo
1982,6,17,1.77,bobo
1982,6,18,3.37,bobo
1982,6,19,2.75,bobo
1982,6,20,14.03,bobo
1982,6,21,7.88,bobo
1982,6,22,7.24,bobo
1982,6,23,11.68,bobo
1982,6,24,8.55,bobo
1982,6,25,4.41,bobo
1982,6,26,2.17,bobo
1982,6,27,6.13,bobo
1982,6,28,3.27,bobo
1982,6,29,13.88,bobo
1982,6,30,2.56,bobo
1982,7,1,1.1,bobo
1982,7,2,5.14,bobo
1982,7,3,6.08,bobo
1982,7,4,4.25,bobo
1982,7,5,2.26,bobo
1982,7,6,4.69,bobo
1982,7,7,4.93,bobo
1982,7,8,1,bobo
1982,7,9,1.83,bobo
1982,7,10,16.65,bobo
1982,7,11,15.73,bobo
1982,7,12,7,bobo
1982,7,13,3.87,bobo
1982,7,14,4.73,bobo
1982,7,15,5.6,bobo
1982,7,16,25.63,bobo
1982,7,17,4.05,bobo
1982,7,18,2.33,bobo
1982,7,19,4.4,bobo
1982,7,20,2,bobo
1982,7,21,1.37,bobo
1982,7,22,4.52,bobo
1982,7,23,3.05,bobo
1982,7,24,5.26,bobo
1982,7,25,7.06,bobo
1982,7,26,3.85,bobo
1982,7,27,7.63,bobo
1982,7,28,8.92,bobo
1982,7,29,5.34,bobo
1982,7,30,2.66,bobo
1982,7,31,3.92,bobo
1982,8,1,2.84,bobo
1982,8,2,9.59,bobo
1982,8,3,1.29,bobo
1982,8,4,4.17,bobo
1982,8,5,9.88,bobo
1982,8,6,13.95,bobo
1982,8,7,7.45,bobo
1982,8,8,8.22,bobo
1982,8,9,2.75,bobo
1982,8,10,3.86,bobo
1982,8,11,7.01,bobo
1982,8,12,3.62,bobo
1982,8,13,3.07,bobo
1982,8,14,1.38,bobo
1982,8,15,3.88,bobo
1982,8,16,9.44,bobo
1982,8,17,7.75,bobo
1982,8,18,7.6,bobo
1982,8,19,8.86,bobo
1982,8,20,14.09,bobo
1982,8,21,5.52,bobo
1982,8,22,2.66,bobo
1982,8,23,8.78,bobo
1982,8,24,13.67,bobo
1982,8,25,13.26,bobo
1982,8,26,5.33,bobo
1982,8,27,10.33,bobo
1982,8,28,18.89,bobo
1982,8,29,10.57,bobo
1982,8,30,4.65,bobo
1982,8,31,10.13,bobo
1982,9,1,10.79,bobo
1982,9,2,15.96,bobo
1982,9,3,5.4,bobo
1982,9,4,20.22,bobo
1982,9,5,9.8,bobo
1982,9,6,2.8,bobo
1982,9,7,6.99,bobo
1982,9,8,6.91,bobo
1982,9,9,7.82,bobo
1982,9,10,3.78,bobo
1982,9,11,7.15,bobo
1982,9,12,7.8,bobo
1982,9,13,2.12,bobo
1982,9,14,2.12,bobo
1982,9,15,1.32,bobo
1982,9,16,2.36,bobo
1982,9,17,1.7,bobo
1982,9,18,1.81,bobo
1982,9,19,3.91,bobo
1982,9,20,2.61,bobo
1982,9,21,8.86,bobo
1982,9,22,1.3,bobo
1982,9,23,1.78,bobo
1982,9,24,0.61,bobo
1982,9,25,1.58,bobo
1982,9,26,0.56,bobo
1982,9,27,2.51,bobo
1982,9,28,3.61,bobo
1982,9,29,6.31,bobo
1982,9,30,2.45,bobo
1982,10,1,1.95,bobo
1982,10,2,4.21,bobo
1982,10,3,5.33,bobo
1982,10,4,6.09,bobo
1982,10,5,8.95,bobo
1982,10,6,4.22,bobo
1982,10,7,5.84,bobo
1982,10,8,3.84,bobo
1982,10,9,3.69,bobo
1982,10,10,6.2,bobo
1982,10,11,1.8,bobo
1982,10,12,4.18,bobo
1982,10,13,1.24,bobo
1982,10,14,8.94,bobo
1982,10,15,6.1,bobo
1982,10,16,2.9,bobo
1982,10,17,2.76,bobo
1982,10,18,1.38,bobo
1982,10,19,1.21,bobo
1982,10,20,2.05,bobo
1982,10,21,2.41,bobo
1982,10,22,2.46,bobo
1982,10,23,0.7,bobo
1982,10,24,0.63,bobo
1982,10,25,0.92,bobo
1982,10,26,2.46,bobo
1982,10,27,1.96,bobo
1982,10,28,3.75,bobo
1982,10,29,2.16,bobo
1982,10,30,4.65,bobo
1982,10,31,3.1,bobo
1982,11,1,4.6,bobo
1982,11,2,0.98,bobo
1982,11,3,0.38,bobo
1982,11,4,0.26,bobo
1982,11,5,0.01,bobo
1982,11,6,0.07,bobo
1982,11,7,0,bobo
1982,11,8,0,bobo
1982,11,9,0,bobo
1982,11,10,0,bobo
1982,11,11,0,bobo
1982,11,12,0.09,bobo
1982,11,13,0,bobo
1982,11,14,0,bobo
1982,11,15,0,bobo
1982,11,16,0,bobo
1982,11,17,0,bobo
1982,11,18,0,bobo
1982,11,19,0,bobo
1982,11,20,0,bobo
1982,11,21,0,bobo
1982,11,22,0,bobo
1982,11,23,0,bobo
1982,11,24,0,bobo
1982,11,25,0,bobo
1982,11,26,0,bobo
1982,11,27,0,bobo
1982,11,28,0,bobo
1982,11,29,0,bobo
1982,11,30,0,bobo
1982,12,1,0,bobo
