YEAR,MM,DD,T2M_MAX,T2M_MIN,NAMES
1982,11,27,31.38,14.59,dori
1982,11,28,31.68,13.65,dori
1982,11,29,31.79,14.39,dori
1982,11,30,32.44,14.46,dori
1982,12,1,33.56,14.98,dori
1982,12,2,33.68,15.43,dori
1982,12,3,34.6,15.57,dori
1982,12,4,34.16,16.42,dori
1982,12,5,28.51,15.58,dori
1982,12,6,25.4,14.9,dori
1982,12,7,27.8,13.94,dori
1982,12,8,27.79,15.69,dori
1982,12,9,29.13,18.39,dori
1982,12,10,30.01,18.53,dori
1982,12,11,31.95,17.48,dori
1982,12,12,31.51,17.25,dori
1982,12,13,27.94,16.9,dori
1982,12,14,33.51,15.15,dori
1982,12,15,34.32,15.65,dori
1982,12,16,34.97,17.74,dori
1982,12,17,31.22,17.98,dori
1982,12,18,30.11,16.1,dori
1982,12,19,29.78,15.72,dori
1982,12,20,33.62,15.73,dori
1982,12,21,34.66,16.51,dori
1982,12,22,34.95,17.1,dori
1982,12,23,34.65,17.04,dori
1982,12,24,33.39,16.98,dori
1982,12,25,31.54,18.24,dori
1982,12,26,31.21,17.27,dori
1982,12,27,29.78,14.88,dori
1982,12,28,30.33,13.99,dori
1982,12,29,30.65,14.54,dori
1982,12,30,32.05,14.25,dori
1982,12,31,31.04,15.42,dori
1983,1,1,32.75,16.14,dori
1983,1,2,31.48,14.69,dori
1983,1,3,29.42,14.77,dori
1983,1,4,28.55,14.67,dori
1983,1,5,26.4,12.85,dori
1983,1,6,25.13,10.31,dori
1983,1,7,26.87,9.69,dori
1983,1,8,27.38,11.46,dori
1983,1,9,26.91,11.55,dori
1983,1,10,29.18,13.73,dori
1983,1,11,28.69,12.7,dori
1983,1,12,28.12,12.43,dori
1983,1,13,27.08,11.86,dori
1983,1,14,27.33,11.48,dori
1983,1,15,29.76,12.51,dori
1983,1,16,30.74,13.62,dori
1983,1,17,31.72,13.08,dori
1983,1,18,28.96,13.76,dori
1983,1,19,30.53,13.99,dori
1983,1,20,30.48,14.2,dori
1983,1,21,31.33,15.64,dori
1983,1,22,31.67,15.63,dori
1983,1,23,29.83,15.12,dori
1983,1,24,28.67,14.98,dori
1983,1,25,28.29,10.88,dori
1983,1,26,28.01,11.63,dori
1983,1,27,27.07,11.38,dori
1983,1,28,27.06,11.32,dori
1983,1,29,26.01,11.16,dori
1983,1,30,27.8,10.37,dori
1983,1,31,27.18,10.72,dori
1983,2,1,29.34,11.55,dori
1983,2,2,30.13,13.73,dori
1983,2,3,31.62,15.73,dori
1983,2,4,33.3,15.54,dori
1983,2,5,34.26,15.72,dori
1983,2,6,34.96,16.77,dori
1983,2,7,36.06,18.16,dori
1983,2,8,37.99,20.44,dori
1983,2,9,38.31,21.87,dori
1983,2,10,33.97,20.83,dori
1983,2,11,37.69,22.04,dori
1983,2,12,38.71,23.79,dori
